short_doi,doi
n8z,10.1016/j.cmet.2013.09.008
n7k,10.1073/pnas.1306983110
n7n,10.1021/la402409f
pb2,10.1126/science.1243092
pbb,10.1016/j.stem.2013.09.004
pcs,doi:10.1038/nchem.1781
pct,doi:10.1038/nmeth.2657
pnt,doi:10.1038/ngeo1988
pd2,10.1016/j.icarus.2013.10.005
pq9,10.1073/pnas.1310356110
f2ndgr,10.1002/anie.201308072
psp,10.1073/pnas.1314311110
ppm,doi:10.1038/ng.2802
p4j,10.1016/j.jas.2013.10.025
p5h,10.1111/ele.12209
p33,10.1098/rspb.2013.2424
qf9,10.1098/rsbl.2013.0892
qhc,10.1016/j.cell.2013.11.029
qfz,10.1130/G34802.1
qg9,10.1016/j.cub.2013.10.030
qhb,10.1016/j.cmet.2013.11.008
qf4,doi:10.1038/ng.2848
q93,10.1016/j.cell.2014.01.027
q9h,10.1016/j.anbehav.2013.11.010
q9w,10.1111/evo.12356
rbf,doi:10.1038/nn.3641
rb9,10.1111/faf.12072
rcs,10.1126/science.1247997
rct,doi:10.1007/s10646-014-1189-7
rcf,doi:10.1038/nm.3460
r6v,10.1016/j.cub.2014.03.016
r6z,10.1002/2014GL059520
r7j,doi:10.1038/nclimate2183
sfs,10.1002/2014GL059748
sjg,10.1016/j.cub.2014.03.010
sjf,10.1016/j.cub.2014.03.030
sh7,10.1111/1365-2435.12283
sg7,10.1002/adma.201400420
v9g,doi:10.1038/ngeo2269
v8d,10.1073/pnas.1312753111
v9j,doi:10.1038/nbt.3020
xqp,10.1130/G36209.1
xqq,10.1002/2014GL062324
f2wk4c,10.1002/anie.201409093
xqr,10.1111/1365-2664.12372
zc7,10.1016/j.cub.2014.12.035
zfs,doi:10.7554/eLife.04885
zfj,10.3389/fevo.2014.00088
zt3,10.1111/evo.12610
zqq,10.1002/2014GL062826
zqr,doi:10.1007/s10584-015-1325-2
f23gmf,10.1002/anie.201411378
z8n,10.1130/G36346.1
z8p,10.1111/1365-2664.12390
2mx,10.1016/j.cub.2015.01.037
f259np,10.1002/anie.201412475
2ps,10.1130/G36509.1
2sf,10.1073/pnas.1419522112
2sh,10.1073/pnas.1417392112
2sj,10.1016/j.neuron.2015.02.033
f26cb6,10.1002/adma.201405438
2wr,10.1098/rspb.2015.0057
24t,10.1073/pnas.1413383112
243,doi:10.1038/ngeo2385
3cg,10.1073/pnas.1416967112
3ch,10.1098/rsbl.2014.1045
338,10.1016/j.cub.2015.02.075
34d,10.1016/j.cub.2015.04.007
36n,10.1098/rsbl.2015.0080
372,10.1021/jacs.5b02069
37x,10.1002/ajpa.22728
4f2,doi:10.1038/nchem.2258
4jz,10.1016/j.cmet.2015.04.011
4fz,10.1175/JCLI-D-14-00624.1
4j2,10.1016/j.celrep.2015.04.015
4m3,doi:10.1038/nn.4019
4m5,10.1111/ele.12424
4sk,10.1016/j.cell.2015.04.001
4rs,10.1073/pnas.1420232112
4sj,10.1016/j.cell.2015.04.042
4sm,10.1016/j.cell.2015.05.011
6kg,doi:10.1038/nphys3415
6jq,10.1111/cobi.12591
6jp,10.1073/pnas.1507645112
6dn,10.1002/2015GL064236
6hk,10.1073/pnas.1506516112
6j6,10.1016/j.celrep.2015.07.019
6zr,10.1126/science.aac8343
6x5,10.1002/2015GL064696
6zw,10.1016/j.chom.2015.07.006
6x2,doi:10.1038/nnano.2015.173
66n,10.1016/j.cub.2015.07.070
635,10.1111/1365-2664.12528
6z5,10.1056/NEJMoa1502214
66q,doi:10.1186/s12898-015-0052-x
7tt,10.1002/2015GL065504
7xd,10.1016/j.cub.2015.08.024
f3gcnp,10.1002/adma.201503188
7v4,10.1126/science.aab4077
9kg,10.1016/j.cub.2015.10.046
9kk,doi:10.1038/ncomms9897
9h2,10.1002/2015GL065702
9kb,10.1016/j.cub.2015.10.044
97h,10.1016/j.cub.2015.11.005
97g,10.1002/2015GL067064
989,10.1016/j.cub.2015.11.006
bbsp,doi:10.1038/nclimate2903
bbpn,10.1126/science.aad5143
bbn3,10.1016/j.ajhg.2015.11.015
bbzp,10.1016/j.cub.2015.11.057
bb3g,10.1016/j.cell.2015.12.022
bct3,10.1101/gr.196634.115
bcsr,10.1002/2015GL067189
bcsv,doi:10.1038/nn.4250
bcv4,10.1073/pnas.1516030113
bdnd,doi:10.1038/ng.3531
bdn8,10.1111/1365-2435.12644
bdnb,10.1002/ajpa.22960
bfc6,10.1126/science.aaf3229
bd7p,10.1002/adma.201600281
bd8b,10.1016/j.cell.2016.03.009
bd7s,10.1002/2016GL068509
bfmg,doi:10.7554/eLife.15272
bfqr,10.1111/1365-2664.12650
bgdv,10.1002/2016JA022599
bgrx,10.1016/j.stem.2016.04.014
bgrv,10.1016/j.immuni.2016.03.008
bgdx,10.1126/science.aaf0972
bgd2,10.1126/science.aaf5124
bhwm,10.1073/pnas.1601465113
bhwq,10.1111/jzo.12347
bhwn,doi:10.1038/nplants.2016.73
bj78,10.1111/mec.13732
bkqm,10.1111/jzo.12361
f3qjsh,10.1002/adma.201600660
bkqj,10.1016/j.stem.2016.06.001
bkqh,10.1002/2016GL069563
bmjk,10.1073/pnas.1602792113
bmn5,10.1016/j.cmet.2016.06.012
f3qmr2,10.1002/adma.201601650
bm9z,10.1073/pnas.1604903113
bnh5,10.1016/j.cub.2016.06.004
bndn,10.1016/j.immuni.2016.07.009
bnf9,10.1073/pnas.1602435113
bnqk,10.1073/pnas.1603237113
bn22,10.1016/j.stem.2016.07.001
bn2p,10.1002/2016GL069679
bpsc,doi:10.1103/PhysRevLett.117.082003
bpzg,10.1126/science.aaf7537
bqdf,10.1002/2016GL070869
f3rcsr,10.1002/adma.201603723
bqn6,10.1016/j.cub.2016.08.060
bqnd,10.1073/pnas.1605782113
bqpp,10.1016/j.cell.2016.08.067
bqn8,10.1073/pnas.1607295113
bqpn,10.1016/j.cub.2016.07.038
bqzc,10.1016/j.cell.2016.09.013
bqzj,10.1016/j.cell.2016.08.056
bqzd,10.1016/j.stem.2016.08.020
bqzh,10.1126/science.aaf6056
bqwb,10.1073/pnas.1602480113
brbf,10.1016/j.neuron.2016.08.032
bq7k,10.1073/pnas.1605121113
brbd,10.1016/j.cell.2016.08.032
bq7c,10.1111/cobi.12763
brmm,10.1016/j.immuni.2016.09.009
brg7,10.1002/2016GL070650
brsj,10.1073/pnas.1607171113
brsp,10.1039/C6EE02375D
br3p,10.1002/2016GL070500
f3r9bw,10.1002/adma.201603290
br3n,10.1111/evo.13090
bsc9,10.1016/j.cmet.2016.09.014
bsdh,10.1126/science.aaf2807
bscf,10.1073/pnas.1521540113
bsvc,10.1158/1078-0432.CCR-16-1300
f3s534,10.1002/adma.201604209
bsww,10.1016/j.cub.2016.09.040
btr7,10.1016/j.ccell.2016.10.007
btn5,10.1098/rspb.2016.2104
btkw,10.1111/nyas.13264
f3s8tb,10.1002/adma.201603937
f3s7dr,10.1002/adfm.201604465
btr6,10.1016/j.molcel.2016.10.025
bx8j,10.1021/jacs.6b12750
bz8n,10.1021/acsami.7b00270
bz4s,10.1002/ajpa.23193
bzw2,doi:10.1038/ncomms14435
b2jc,10.1101/gad.294348.116
b2hm,NA
b2jf,10.1084/jem.20162024
b2h9,10.1002/jwmg.21227
b2jd,10.1126/science.aam6960
b4dv,10.1016/j.stem.2017.02.009
b2vm,10.1039/C6TA11165C
b4r7,10.1126/science.aam7194
cp84,10.1002/anie.201802932
